yearQuarter,state,totalRX
2016,ID,75
2016.25,ID,96
2016.5,ID,110
2016.75,ID,169
2017,ID,215
2017.25,ID,235
2017.5,ID,192
2017.75,ID,231
2018,ID,261
2018.25,ID,260
2018.5,ID,227
2018.75,ID,313
2019,ID,281
2019.25,ID,369
2019.5,ID,351
2019.75,ID,336
2020,ID,815
2020.25,ID,972
2020.5,ID,993
2020.75,ID,916
2021,ID,1041
2012,IL,893
2012.25,IL,1800
2012.5,IL,6062
2012.75,IL,3387
2013,IL,2821
2013.25,IL,3191
2013.5,IL,2010
2013.75,IL,2305
2014,IL,2329
2014.25,IL,4254
2014.5,IL,3211
2014.75,IL,3092
2015,IL,2402
2015.25,IL,1906
2015.5,IL,3564
2015.75,IL,4086
2016,IL,4065
2016.25,IL,3697
2016.5,IL,3593
2016.75,IL,3698
2017,IL,4837
2017.25,IL,3552
2017.5,IL,3414
2017.75,IL,3573
2018,IL,3996
2018.25,IL,3584
2018.5,IL,3226
2018.75,IL,3181
2019,IL,3640
2019.25,IL,3912
2019.5,IL,4369
2019.75,IL,4010
2020,IL,5711
2020.25,IL,4596
2020.5,IL,5038
2020.75,IL,4841
2021,IL,3824
2012,IN,842
2012.25,IN,2162
2012.5,IN,2221
2012.75,IN,2402
2013,IN,2595
2013.25,IN,2281
2013.5,IN,2319
2013.75,IN,2370
2014,IN,2083
2014.25,IN,2578
2014.5,IN,2565
2014.75,IN,2281
2015,IN,1782
2015.25,IN,3262
2015.5,IN,4036
2015.75,IN,4620
2016,IN,4722
2016.25,IN,5194
2016.5,IN,3573
2016.75,IN,3559
2017,IN,4154
2017.25,IN,5085
2017.5,IN,3873
2017.75,IN,4256
2018,IN,4498
2018.25,IN,4774
2018.5,IN,4795
2018.75,IN,4724
2019,IN,5498
2019.25,IN,6538
2019.5,IN,6540
2019.75,IN,6471
2020,IN,6556
2020.25,IN,5845
2020.5,IN,6692
2020.75,IN,6836
2021,IN,5947
2012,KS,89
2012.25,KS,448
2012.5,KS,476
2012.75,KS,480
2013,KS,31
2013.75,KS,463
2014,KS,747
2014.25,KS,2437
2014.5,KS,689
2014.75,KS,1068
2015,KS,838
2015.25,KS,561
2015.5,KS,420
2015.75,KS,712
2016,KS,972
2016.25,KS,299
2016.5,KS,930
2016.75,KS,590
2017,KS,898
2017.25,KS,1935
2017.5,KS,812
2017.75,KS,825
2018,KS,887
2018.25,KS,903
2018.5,KS,977
2018.75,KS,980
2019,KS,985
2019.25,KS,1028
2019.5,KS,982
2019.75,KS,894
2020,KS,938
2020.25,KS,845
2020.5,KS,888
2020.75,KS,794
2021,KS,495
2012,KY,406
2012.25,KY,870
2012.5,KY,810
2012.75,KY,813
2013,KY,266
2013.25,KY,595
2013.5,KY,247
2013.75,KY,16
2014,KY,1693
2014.25,KY,890
2014.5,KY,744
2014.75,KY,648
2015,KY,633
2015.25,KY,496
2015.5,KY,827
2015.75,KY,114
2016,KY,821
2016.25,KY,1305
2016.5,KY,2576
2016.75,KY,3592
2017,KY,4366
2017.25,KY,4145
2017.5,KY,5508
2017.75,KY,6356
2018,KY,7677
2018.25,KY,7562
2018.5,KY,8264
2018.75,KY,7548
2019,KY,7915
2019.25,KY,7377
2019.5,KY,7474
2019.75,KY,6834
2020,KY,7099
2020.25,KY,5798
2020.5,KY,6551
2020.75,KY,6122
2021,KY,3487
2012,LA,345
2012.25,LA,790
2012.5,LA,1184
2012.75,LA,918
2013,LA,650
2013.25,LA,484
2013.5,LA,435
2013.75,LA,372
2014,LA,340
2014.25,LA,344
2014.5,LA,357
2014.75,LA,189
2015,LA,600
2015.25,LA,564
2015.5,LA,618
2015.75,LA,781
2016,LA,916
2016.25,LA,940
2016.5,LA,2036
2016.75,LA,2496
2017,LA,2558
2017.25,LA,2815
2017.5,LA,2704
2017.75,LA,2916
2018,LA,3058
2018.25,LA,3408
2018.5,LA,3535
2018.75,LA,3164
2019,LA,3139
2019.25,LA,3426
2019.5,LA,4173
2019.75,LA,3878
2020,LA,4177
2020.25,LA,3315
2020.5,LA,3445
2020.75,LA,3376
2021,LA,3398
2012,MA,1027
2012.25,MA,2534
2012.5,MA,2211
2012.75,MA,3136
2013,MA,3358
2013.25,MA,3799
2013.5,MA,3420
2013.75,MA,2881
2014,MA,3458
2014.25,MA,3963
2014.5,MA,3569
2014.75,MA,4315
2015,MA,3606
2015.25,MA,3942
2015.5,MA,3122
2015.75,MA,3566
2016,MA,4026
2016.25,MA,4353
2016.5,MA,3952
2016.75,MA,4505
2017,MA,4309
2017.25,MA,4776
2017.5,MA,3981
2017.75,MA,4002
2018,MA,4411
2018.25,MA,5276
2018.5,MA,4819
2018.75,MA,5507
2019,MA,5290
2019.25,MA,5973
2019.5,MA,5186
2019.75,MA,5807
2020,MA,6108
2020.25,MA,4979
2020.5,MA,4998
2020.75,MA,5290
2021,MA,5272
2012,MD,323
2012.25,MD,806
2012.5,MD,785
2012.75,MD,947
2013,MD,963
2013.25,MD,989
2013.5,MD,882
2013.75,MD,910
2014,MD,1115
2014.25,MD,1510
2014.5,MD,1381
2014.75,MD,1469
2015,MD,403
2015.25,MD,603
2015.5,MD,606
2015.75,MD,503
2016,MD,558
2016.25,MD,643
2016.5,MD,712
2016.75,MD,783
2017,MD,1001
2017.25,MD,1157
2017.5,MD,1524
2017.75,MD,2954
2018,MD,3211
2018.25,MD,3220
2018.5,MD,3308
2018.75,MD,3398
2019,MD,3575
2019.25,MD,3734
2019.5,MD,3347
2019.75,MD,3627
2020,MD,3418
2020.25,MD,3033
2020.5,MD,3377
2020.75,MD,3272
2021,MD,3508
2012,ME,1731
2012.25,ME,1659
2012.5,ME,1218
2012.75,ME,41
2013,ME,20
2013.25,ME,35
2013.5,ME,13
2013.75,ME,14
2014,ME,463
2014.25,ME,718
2014.5,ME,731
2014.75,ME,830
2015,ME,735
2015.25,ME,819
2015.5,ME,707
2015.75,ME,780
2016,ME,851
2016.25,ME,889
2016.5,ME,887
2016.75,ME,891
2017,ME,1036
2017.25,ME,1000
2017.5,ME,896
2017.75,ME,981
2018,ME,1007
2018.25,ME,1083
2018.5,ME,1029
2018.75,ME,996
2019,ME,1161
2019.25,ME,1513
2019.5,ME,1550
2019.75,ME,1591
2020,ME,1573
2020.25,ME,1236
2020.5,ME,1427
2020.75,ME,1356
2021,ME,1414
2012,MI,755
2012.25,MI,1621
2012.5,MI,1437
2012.75,MI,1560
2013,MI,1823
2013.25,MI,2130
2013.5,MI,1845
2013.75,MI,1827
2014,MI,1734
2014.25,MI,3060
2014.5,MI,3623
2014.75,MI,3667
2015,MI,3457
2015.25,MI,3668
2015.5,MI,2648
2015.75,MI,2836
2016,MI,5196
2016.25,MI,6798
2016.5,MI,8621
2016.75,MI,9343
2017,MI,11139
2017.25,MI,11514
2017.5,MI,11509
2017.75,MI,11753
2018,MI,12832
2018.25,MI,12316
2018.5,MI,12160
2018.75,MI,12326
2019,MI,12436
2019.25,MI,12213
2019.5,MI,11479
2019.75,MI,11129
2020,MI,11362
2020.25,MI,8400
2020.5,MI,9438
2020.75,MI,10522
2021,MI,7897
2012,MN,2334
2012.25,MN,4396
2012.5,MN,4300
2012.75,MN,4378
2013,MN,4895
2013.25,MN,4593
2013.5,MN,5535
2013.75,MN,4185
2014,MN,4723
2014.25,MN,4900
2014.5,MN,4663
2014.75,MN,4777
2015,MN,4328
2015.25,MN,4021
2015.5,MN,3761
2015.75,MN,4065
2016,MN,4431
2016.25,MN,4294
2016.5,MN,4051
2016.75,MN,4190
2017,MN,4602
2017.25,MN,4474
2017.5,MN,4137
2017.75,MN,4448
2018,MN,4535
2018.25,MN,4580
2018.5,MN,4247
2018.75,MN,4392
2019,MN,4102
2019.25,MN,4273
2019.5,MN,4221
2019.75,MN,4047
2020,MN,4311
2020.25,MN,3593
2020.5,MN,3846
2020.75,MN,3763
2021,MN,4112
2012,MO,617
2012.25,MO,1670
2012.5,MO,1727
2012.75,MO,1893
2013,MO,1573
2013.25,MO,1706
2013.5,MO,1615
2013.75,MO,1581
2014,MO,1297
2014.25,MO,1414
2014.5,MO,1251
2014.75,MO,1321
2015,MO,1622
2015.25,MO,1537
2015.5,MO,1744
2015.75,MO,1831
2016,MO,2063
2016.25,MO,1942
2016.5,MO,2159
2016.75,MO,2263
2017,MO,2421
2017.25,MO,2353
2017.5,MO,2518
2017.75,MO,2587
2018,MO,2665
2018.25,MO,2712
2018.5,MO,2761
2018.75,MO,2672
2019,MO,2797
2019.25,MO,2934
2019.5,MO,3095
2019.75,MO,2878
2020,MO,2815
